ID,Name,Year,Rank,Average,Bayes average,Users rated,URL,Thumbnail,ImageURL
404513,Tokyo Highway: Rainbow City,2023,4326,7.52,5.828,445,/boardgame/404513/tokyo-highway-rainbow-city,https://cf.geekdo-images.com/PuyWXrPAZigw-iP3zPqnSQ__micro/img/WL44-jHH3hkx322sQB8kYJUrgrU=/fit-in/64x64/filters:strip_icc()/pic7974364.jpg,https://cf.geekdo-images.com/PuyWXrPAZigw-iP3zPqnSQ__original/img/7Zkqt5RiTdBo_I2ek32XCkDFLDQ=/0x0/filters:format(jpeg)/pic7974364.jpg
385999,Forever Home,2023,4329,6.71,5.828,841,/boardgame/385999/forever-home,https://cf.geekdo-images.com/IGiDskrRTDb1iaqhKunFMw__micro/img/R7umLGxHg9mGZifP5hA8o6megJQ=/fit-in/64x64/filters:strip_icc()/pic7465204.jpg,https://cf.geekdo-images.com/IGiDskrRTDb1iaqhKunFMw__original/img/Ymt3a10rzS21ezfJ2jpa0eKhldM=/0x0/filters:format(jpeg)/pic7465204.jpg
409572,Intent to Kill,2024,4330,7.67,5.828,524,/boardgame/409572/intent-to-kill,https://cf.geekdo-images.com/rLYd41kjq4ku8Yjqc7k-Ng__micro/img/cUfja3hM3Bp2E4xV3hL1l98igaQ=/fit-in/64x64/filters:strip_icc()/pic8630018.png,https://cf.geekdo-images.com/rLYd41kjq4ku8Yjqc7k-Ng__original/img/6wbFJvdlwWQM5vv1hZc5b2e3zxY=/0x0/filters:format(png)/pic8630018.png
67601,D-Day at Peleliu,2015,4346,8.14,5.825,371,/boardgame/67601/d-day-at-peleliu,https://cf.geekdo-images.com/cpV45MK22pm5S9nsIB_tdA__micro/img/DsPjTobgVXR1swgZTZEEIsRxmLY=/fit-in/64x64/filters:strip_icc()/pic6173387.jpg,https://cf.geekdo-images.com/cpV45MK22pm5S9nsIB_tdA__original/img/MgdGul_QMqvhpz-uvTZvCmSejxU=/0x0/filters:format(jpeg)/pic6173387.jpg
352135,Plantagenet: Cousins' War for England   1459 - 1485,2023,4347,8.23,5.825,333,/boardgame/352135/plantagenet-cousins-war-for-england-1459-1485,https://cf.geekdo-images.com/r1fBFGkCUoIsJSnHfbk24A__micro/img/qIwBtBrVK8jVTOLNO7ehcKSB8DQ=/fit-in/64x64/filters:strip_icc()/pic7295085.jpg,https://cf.geekdo-images.com/r1fBFGkCUoIsJSnHfbk24A__original/img/pmdEA4_hm4ZlJZL-UERousgvAfo=/0x0/filters:format(jpeg)/pic7295085.jpg
358636,SAS: Rogue Regiment,2024,4355,8.64,5.824,443,/boardgame/358636/sas-rogue-regiment,https://cf.geekdo-images.com/meuaQRNgvZb3FwHla3KjEg__micro/img/h1BIAJfLKnkJR0vRwyGMB-gJWPU=/fit-in/64x64/filters:strip_icc()/pic6968982.jpg,https://cf.geekdo-images.com/meuaQRNgvZb3FwHla3KjEg__original/img/O67VOKE7T5TzcRKIrNIFQCSgGSM=/0x0/filters:format(jpeg)/pic6968982.jpg
371133,Wild Gardens,2024,4360,7.69,5.824,411,/boardgame/371133/wild-gardens,https://cf.geekdo-images.com/TALoYeirrsT-eqN0T5ak2g__micro/img/cCWPijejN_mq1d4pxHFZRCs-6tk=/fit-in/64x64/filters:strip_icc()/pic7111048.png,https://cf.geekdo-images.com/TALoYeirrsT-eqN0T5ak2g__original/img/pRsG3vAwj_Sm1Wu1fDfAWJiRRvA=/0x0/filters:format(png)/pic7111048.png
209877,World At War 85: Storming the Gap,2019,4363,8.61,5.824,346,/boardgame/209877/world-at-war-85-storming-the-gap,https://cf.geekdo-images.com/m31opvrq37SNjzoaIdj2tQ__micro/img/sLQYbV_uT1LzHBMfQK32Yv3W75E=/fit-in/64x64/filters:strip_icc()/pic3227300.jpg,https://cf.geekdo-images.com/m31opvrq37SNjzoaIdj2tQ__original/img/WduXzdBv5UXp5GHrW5wcRwpM-G4=/0x0/filters:format(jpeg)/pic3227300.jpg
277025,Vampire: The Masquerade – CHAPTERS,2023,4373,7.39,5.822,705,/boardgame/277025/vampire-the-masquerade-chapters,https://cf.geekdo-images.com/heM6HlMcOUSvUENmEjKEug__micro/img/-PyPKHETItsu-sXHt33dlWUDsVE=/fit-in/64x64/filters:strip_icc()/pic7656159.jpg,https://cf.geekdo-images.com/heM6HlMcOUSvUENmEjKEug__original/img/8RiUHKz08jptqwqvzx_NU3B5onM=/0x0/filters:format(jpeg)/pic7656159.jpg
236239,Battles of the American Revolution Tri-pack: Guilford   Saratoga   Brandywine,2017,4376,8.04,5.822,366,/boardgame/236239/battles-of-the-american-revolution-tri-pack-guilfo,https://cf.geekdo-images.com/ZSxICB9sk51yTC5Wa_iEjQ__micro/img/J6FxByra1FonXOnk-eLgfAnNigc=/fit-in/64x64/filters:strip_icc()/pic3772040.jpg,https://cf.geekdo-images.com/ZSxICB9sk51yTC5Wa_iEjQ__original/img/d4MDyXHcKkA_3-MxVLMu3K9zKVA=/0x0/filters:format(jpeg)/pic3772040.jpg
306482,I C E,2023,4384,7.23,5.821,615,/boardgame/306482/i-c-e,https://cf.geekdo-images.com/61xnbnswyvMmZ6pDleHewg__micro/img/5asnEVJxUT_UcHcNa8dsIZiU548=/fit-in/64x64/filters:strip_icc()/pic7711608.png,https://cf.geekdo-images.com/61xnbnswyvMmZ6pDleHewg__original/img/zSJazSkJZ8DVQeQHKsyQMuFo4KA=/0x0/filters:format(png)/pic7711608.png
391752,Steam Power,2024,4391,7.39,5.82,463,/boardgame/391752/steam-power,https://cf.geekdo-images.com/d5JR5FekM_PsanGOHBdSMA__micro/img/UmMMwoF9Y5EFHvvelVspfPbcHjs=/fit-in/64x64/filters:strip_icc()/pic7720019.jpg,https://cf.geekdo-images.com/d5JR5FekM_PsanGOHBdSMA__original/img/n6y6kwfqOwqChZ6X5ajMq0N-X7Q=/0x0/filters:format(jpeg)/pic7720019.jpg
306637,Resident Evil 3: The Board Game,2021,4400,8.02,5.82,446,/boardgame/306637/resident-evil-3-the-board-game,https://cf.geekdo-images.com/iCtS5mAMJ4sheTTVWaBoQw__micro/img/oN9KxfZkVi6FWd75r7J1LRRA6-I=/fit-in/64x64/filters:strip_icc()/pic8195404.jpg,https://cf.geekdo-images.com/iCtS5mAMJ4sheTTVWaBoQw__original/img/AJhjmK1kmme_n6jRtjtzDdDq4l4=/0x0/filters:format(jpeg)/pic8195404.jpg
6581,Korea: The Forgotten War,2003,4413,8.06,5.818,347,/boardgame/6581/korea-the-forgotten-war,https://cf.geekdo-images.com/tZ7OxSUYsZFlnxo1Q8mWPQ__micro/img/ib67vOpmroWPVrANOtTuxSZqXOQ=/fit-in/64x64/filters:strip_icc()/pic2281042.png,https://cf.geekdo-images.com/tZ7OxSUYsZFlnxo1Q8mWPQ__original/img/fO0dBvAAVyvXwvFO6wnCXz_sdKQ=/0x0/filters:format(png)/pic2281042.png
369898,Pollen,2023,4415,7,5.818,612,/boardgame/369898/pollen,https://cf.geekdo-images.com/R0MpBM4U-lee5L2VEt0qFg__micro/img/_vV_BdQyhNgjLPupiMqQZIffadM=/fit-in/64x64/filters:strip_icc()/pic7064573.jpg,https://cf.geekdo-images.com/R0MpBM4U-lee5L2VEt0qFg__original/img/c8OuY_1l2K4E8iNzQCbb0t_sAbE=/0x0/filters:format(jpeg)/pic7064573.jpg
179448,Monikers: Shmonikers,2015,4422,8.01,5.817,320,/boardgame/179448/monikers-shmonikers,https://cf.geekdo-images.com/NVgWUW-6x0XKzNbefi06yQ__micro/img/Py7iN7K_DOqgk_KmpUWthr-_jS0=/fit-in/64x64/filters:strip_icc()/pic2741584.jpg,https://cf.geekdo-images.com/NVgWUW-6x0XKzNbefi06yQ__original/img/l_YPFNmsWftWBHn3DoYnVxRWvfQ=/0x0/filters:format(jpeg)/pic2741584.jpg
263192,Teenage Mutant Ninja Turtles Adventures: Change is Constant,2020,4425,8.18,5.817,390,/boardgame/263192/teenage-mutant-ninja-turtles-adventures-change-is,https://cf.geekdo-images.com/ORocX30qCgEP07md8swA6Q__micro/img/qbtEI6P7-BCmHXWV-mY0GYzKTPM=/fit-in/64x64/filters:strip_icc()/pic4448084.jpg,https://cf.geekdo-images.com/ORocX30qCgEP07md8swA6Q__original/img/T0mCe5tKrTs1NxU7JTVjreM5jx4=/0x0/filters:format(jpeg)/pic4448084.jpg
311823,Nova Aetas Renaissance,2023,4426,8.26,5.817,448,/boardgame/311823/nova-aetas-renaissance,https://cf.geekdo-images.com/husIzdQIq7CSTq1xqn3nQA__micro/img/c_la2Mnjtv3HllkHzykYPEgGteg=/fit-in/64x64/filters:strip_icc()/pic5748364.jpg,https://cf.geekdo-images.com/husIzdQIq7CSTq1xqn3nQA__original/img/KM7wnnW9kan-IZufCDXegx1hHUo=/0x0/filters:format(jpeg)/pic5748364.jpg
228051,Warhammer 40  000: Heroes of Black Reach,2018,4427,7.89,5.817,458,/boardgame/228051/warhammer-40000-heroes-of-black-reach,https://cf.geekdo-images.com/AIBQ4QN0iWr_7ZsQshbspA__micro/img/gSOKZJyOYMEl9DOpHCiTwQkbme0=/fit-in/64x64/filters:strip_icc()/pic4223812.png,https://cf.geekdo-images.com/AIBQ4QN0iWr_7ZsQshbspA__original/img/ARpVr8lcx-uUbU0mNAwgV5du0Z0=/0x0/filters:format(png)/pic4223812.png
344925,Bardwood Grove,2024,4435,7.33,5.816,526,/boardgame/344925/bardwood-grove,https://cf.geekdo-images.com/Mgv8-ZhhHO9NoknMrIJYXg__micro/img/nbWyw1lrnouHp148QS5ahJWsbr4=/fit-in/64x64/filters:strip_icc()/pic6352309.jpg,https://cf.geekdo-images.com/Mgv8-ZhhHO9NoknMrIJYXg__original/img/g_rnKZZGsGbyj47FcUPPRhtd2LA=/0x0/filters:format(jpeg)/pic6352309.jpg
370757,Zoo Tycoon: The Board Game,2023,4440,7.15,5.816,663,/boardgame/370757/zoo-tycoon-the-board-game,https://cf.geekdo-images.com/YDTJldddf_uE2ozuVgxRoA__micro/img/vCgYwa8QsgBkZ_1Kvd6CNP7WI5Y=/fit-in/64x64/filters:strip_icc()/pic7520885.png,https://cf.geekdo-images.com/YDTJldddf_uE2ozuVgxRoA__original/img/yp-swfzlAqDHJSc_7Pl8QUIwnhE=/0x0/filters:format(png)/pic7520885.png
357659,Nightmare Cathedral,2023,4453,7.5,5.814,446,/boardgame/357659/nightmare-cathedral,https://cf.geekdo-images.com/pV0wOMTmMG0na4jW30IBng__micro/img/DdcW-nBCfg9WtJrtWakk7-uQevs=/fit-in/64x64/filters:strip_icc()/pic6701539.jpg,https://cf.geekdo-images.com/pV0wOMTmMG0na4jW30IBng__original/img/NQpGeyxjXhng_PVK7aQzCF8BgjU=/0x0/filters:format(jpeg)/pic6701539.jpg
343525,Seas of Havoc,2023,4456,7.29,5.814,503,/boardgame/343525/seas-of-havoc,https://cf.geekdo-images.com/V7bMyrvT0Fv4TRMWSqpAoQ__micro/img/hEo3KKSHPXKYHD-T8sfnbk0cCWs=/fit-in/64x64/filters:strip_icc()/pic6700457.jpg,https://cf.geekdo-images.com/V7bMyrvT0Fv4TRMWSqpAoQ__original/img/wKzT_974Q6cf6rPTx_W5E3IH9pU=/0x0/filters:format(jpeg)/pic6700457.jpg
374201,Lata,2023,4457,7.16,5.814,553,/boardgame/374201/lata,https://cf.geekdo-images.com/7eFKLGEMBAELQLTS2ECgMA__micro/img/IR_gF4ghqoOb0g131rwDZpnwB0k=/fit-in/64x64/filters:strip_icc()/pic7358600.jpg,https://cf.geekdo-images.com/7eFKLGEMBAELQLTS2ECgMA__original/img/b23BPr4G1SepaQNFwURMfWn_e5E=/0x0/filters:format(jpeg)/pic7358600.jpg
409978,Tiny Epic Game of Thrones,2025,4459,7.68,5.813,429,/boardgame/409978/tiny-epic-game-of-thrones,https://cf.geekdo-images.com/vl_bFvP8d8yHuJkT6X90ZA__micro/img/cuMjnkEkyV-K6iDOBeE7d5qo54Q=/fit-in/64x64/filters:strip_icc()/pic7929314.jpg,https://cf.geekdo-images.com/vl_bFvP8d8yHuJkT6X90ZA__original/img/D43GiHvMfkBbk5UQuULAwXkxMNI=/0x0/filters:format(jpeg)/pic7929314.jpg
294263,EOS: Island of Angels,2023,4462,7.59,5.813,440,/boardgame/294263/eos-island-of-angels,https://cf.geekdo-images.com/Dx4Lr6K8DaQeGRg1cMRk7A__micro/img/FizXLw0vXoL5A1YYGJNeR27awRA=/fit-in/64x64/filters:strip_icc()/pic5972602.jpg,https://cf.geekdo-images.com/Dx4Lr6K8DaQeGRg1cMRk7A__original/img/MPjdT-0EmvcbHtmN1KCMCqI_jpo=/0x0/filters:format(jpeg)/pic5972602.jpg
277030,1824: Austrian-Hungarian Railway,2019,4473,7.9,5.812,340,/boardgame/277030/1824-austrian-hungarian-railway,https://cf.geekdo-images.com/TcMB5zrqBpWN48p9mvhddA__micro/img/9f2435gxEGzvwbW85Dj4cyVWfLo=/fit-in/64x64/filters:strip_icc()/pic4669773.jpg,https://cf.geekdo-images.com/TcMB5zrqBpWN48p9mvhddA__original/img/qSwBLREjA6IFWXVv0BvrIkr-XLY=/0x0/filters:format(jpeg)/pic4669773.jpg
380442,The Last Kingdom Board Game,2023,4488,7.51,5.811,449,/boardgame/380442/the-last-kingdom-board-game,https://cf.geekdo-images.com/ik7-EfsvuvLK_4EoklQzNg__micro/img/cieS8I_s4vSlssUULG_b9-9hrT4=/fit-in/64x64/filters:strip_icc()/pic7346704.jpg,https://cf.geekdo-images.com/ik7-EfsvuvLK_4EoklQzNg__original/img/gMQO2E2mawdlNuW-PDLYKn2tI2Y=/0x0/filters:format(jpeg)/pic7346704.jpg
254588,Hearts and Minds: Vietnam 1965-1975 (Third Edition),2019,4494,8,5.81,337,/boardgame/254588/hearts-and-minds-vietnam-1965-1975-third-edition,https://cf.geekdo-images.com/v5naYmTPssWD_JGoGRfIiA__micro/img/RqINLA1dS2TpmE72k2p5AOLf1fU=/fit-in/64x64/filters:strip_icc()/pic4222624.jpg,https://cf.geekdo-images.com/v5naYmTPssWD_JGoGRfIiA__original/img/glwmDC8Gz3uJSQBe9UdYbBaRd28=/0x0/filters:format(jpeg)/pic4222624.jpg
366322,Skoventyr,2023,4495,7.4,5.81,443,/boardgame/366322/skoventyr,https://cf.geekdo-images.com/MmioTBYGXbqsnh1RiZWcuw__micro/img/IbtnYKThXEibSKEpMSw7poJMF2Y=/fit-in/64x64/filters:strip_icc()/pic7657964.jpg,https://cf.geekdo-images.com/MmioTBYGXbqsnh1RiZWcuw__original/img/asu6YYn_cOEerX-mfs4ghkuaIdc=/0x0/filters:format(jpeg)/pic7657964.jpg
194923,Techno Bowl: Arcade Football Unplugged,2017,4500,8.49,5.81,312,/boardgame/194923/techno-bowl-arcade-football-unplugged,https://cf.geekdo-images.com/bBv4KEE47e8TiLbWueD9MQ__micro/img/h0Qwie2_fcnzyKhgOmAzz7W1aos=/fit-in/64x64/filters:strip_icc()/pic2918767.jpg,https://cf.geekdo-images.com/bBv4KEE47e8TiLbWueD9MQ__original/img/o687RUdOWpwftZuWHIXgpOnFnyk=/0x0/filters:format(jpeg)/pic2918767.jpg
250664,Godtear,2019,4501,7.92,5.809,444,/boardgame/250664/godtear,https://cf.geekdo-images.com/6UCMT_5e2ydDeZsdwhr0BQ__micro/img/ifWgOhEBZTIiA7z7KdOTaXYqurc=/fit-in/64x64/filters:strip_icc()/pic4079042.jpg,https://cf.geekdo-images.com/6UCMT_5e2ydDeZsdwhr0BQ__original/img/sR_Hv4_5O0wp2z47eFnouo9Vkio=/0x0/filters:format(jpeg)/pic4079042.jpg
214996,Silver Bayonet: The First Team in Vietnam   1965 (25th Anniversary Edition),2016,4507,8.03,5.809,368,/boardgame/214996/silver-bayonet-the-first-team-in-vietnam-1965-25th,https://cf.geekdo-images.com/_xtAkVtLZmn_Uw2vGpojrw__micro/img/AzkdBqxRq4zNcZ1PqWzIn9H-XoY=/fit-in/64x64/filters:strip_icc()/pic3093082.png,https://cf.geekdo-images.com/_xtAkVtLZmn_Uw2vGpojrw__original/img/HxP67_gwsnZUYDfIZvzqwv71HvU=/0x0/filters:format(png)/pic3093082.png
